country,country_code,continent,sub_region,year,human_development_index,corruption_perception_index,population,life_exp,gdp_per_capita
Paraguay,PRY,Americas,Latin America and the Caribbean,2012,0.679,25,6379162,72.638,5217.445724
Peru,PER,Americas,Latin America and the Caribbean,2012,0.731,38,30158768,74.088,6387.785281
Philippines,PHL,Asia,South-eastern Asia,2012,0.671,34,96017322,68.553,2581.818548
Poland,POL,Europe,Eastern Europe,2012,0.838,58,38609486,76.74634146,13143.52122
Portugal,PRT,Europe,Southern Europe,2012,0.827,63,10515016,80.37317073,20577.40264
Qatar,QAT,Asia,Western Asia,2012,0.843,68,2015624,77.59,88564.82298
Romania,ROU,Europe,Eastern Europe,2012,0.794,44,19944954,74.41219512,8535.046876
Rwanda,RWA,Africa,Sub-Saharan Africa,2012,0.485,53,10817350,64.911,679.8607504
Samoa,WSM,Oceania,Polynesia,2012,0.7,NA,188901,73.875,4234.640751
Sao Tome and Principe,STP,Africa,Sub-Saharan Africa,2012,0.559,42,178484,66.125,1380.949959
Saudi Arabia,SAU,Asia,Western Asia,2012,0.83,44,29496047,73.896,25303.09462
Senegal,SEN,Africa,Sub-Saharan Africa,2012,0.474,36,13780108,65.393,1300.791844
Serbia,SRB,Europe,Southern Europe,2012,0.766,39,8982578,74.83658537,5659.380204
Seychelles,SYC,Africa,Sub-Saharan Africa,2012,0.762,52,94524,74.27560976,12006.64168
Sierra Leone,SLE,Africa,Sub-Saharan Africa,2012,0.413,31,6043157,49.762,561.8984239
Singapore,SGP,Asia,South-eastern Asia,2012,0.92,87,5299524,81.99512195,54715.69483
Slovenia,SVN,Europe,Southern Europe,2012,0.878,61,2062881,80.12439024,22532.43564
Solomon Islands,SLB,Oceania,Melanesia,2012,0.509,NA,549162,69.4,1928.956751
South Africa,ZAF,Africa,Sub-Saharan Africa,2012,0.652,43,52837274,58.545,7478.136578
South Sudan,SSD,Africa,Sub-Saharan Africa,2012,0.417,NA,10980623,54.756,1041.459694
Spain,ESP,Europe,Southern Europe,2012,0.874,65,46637082,82.42682927,28563.85904
Sri Lanka,LKA,Asia,Southern Asia,2012,0.757,40,20421862,74.593,3350.521876
Sudan,SDN,Africa,Northern Africa,2012,0.478,13,37712420,63.384,1892.894352
Suriname,SUR,Americas,Latin America and the Caribbean,2012,0.719,37,528535,70.79,9232.505153
Sweden,SWE,Europe,Northern Europe,2012,0.904,88,9543457,81.70487805,57134.07707
Switzerland,CHE,Europe,Western Europe,2012,0.934,86,8022628,82.69756098,83538.23008
Tajikistan,TJK,Asia,Central Asia,2012,0.617,22,7930929,70.234,954.7205253
Thailand,THA,Asia,South-eastern Asia,2012,0.733,37,67164130,74.446,5859.887644
Timor-Leste,TLS,Asia,South-eastern Asia,2012,0.62,33,1102076,67.805,5766.969812
Togo,TGO,Africa,Sub-Saharan Africa,2012,0.47,30,6745581,58.668,564.6971486
Tonga,TON,Oceania,Polynesia,2012,0.718,NA,104769,72.446,4500.750362
Trinidad and Tobago,TTO,Americas,Latin America and the Caribbean,2012,0.773,39,1341579,70.118,19083.21481
Tunisia,TUN,Africa,Northern Africa,2012,0.72,41,10881450,75.023,4137.54814
Turkey,TUR,Asia,Western Asia,2012,0.754,49,74849187,74.711,11720.31301
Turkmenistan,TKM,Asia,Central Asia,2012,0.678,17,5172941,67.167,6675.262954
Uganda,UGA,Africa,Sub-Saharan Africa,2012,0.478,29,35400620,58.347,636.6382045
Ukraine,UKR,Europe,Eastern Europe,2012,0.744,26,45319949,70.94414634,3855.42128
United Arab Emirates,ARE,Asia,Western Asia,2012,0.829,68,8952542,76.648,42086.68995
Uruguay,URY,Americas,Latin America and the Caribbean,2012,0.788,72,3396753,76.89,15092.06819
Uzbekistan,UZB,Asia,Central Asia,2012,0.681,17,28592451,70.604,1740.468298
Vanuatu,VUT,Oceania,Melanesia,2012,0.591,NA,247498,71.241,3158.58688
Zambia,ZMB,Africa,Sub-Saharan Africa,2012,0.565,37,14786581,59.011,1734.930612
Zimbabwe,ZWE,Africa,Sub-Saharan Africa,2012,0.488,20,14565482,56.516,1163.418689
Afghanistan,AFG,Asia,Southern Asia,2013,0.476,8,30682500,62.494,647.9664605
Albania,ALB,Europe,Southern Europe,2013,0.761,31,2883281,77.702,4413.082887
Algeria,DZA,Africa,Northern Africa,2013,0.741,36,38186135,75.418,5471.123389
Angola,AGO,Africa,Sub-Saharan Africa,2013,0.527,23,23448202,60.373,5258.407376
Argentina,ARG,Americas,Latin America and the Caribbean,2013,0.825,34,42538304,76.089,12976.63642
Armenia,ARM,Asia,Western Asia,2013,0.739,36,2992192,74.044,3843.591213
Australia,AUS,Oceania,Australia and New Zealand,2013,0.936,81,23270465,82.14878049,67990.29003
Austria,AUT,Europe,Western Europe,2013,0.892,69,8486962,81.13658537,50716.70871
Azerbaijan,AZE,Asia,Western Asia,2013,0.752,28,9497496,71.656,7875.756953
Bahrain,BHR,Asia,Western Asia,2013,0.82,48,1349427,76.482,24737.17178
Bangladesh,BGD,Asia,Southern Asia,2013,0.57,27,157157394,71.431,951.8894535
Barbados,BRB,Americas,Latin America and the Caribbean,2013,0.793,75,282503,75.448,16326.91348
Belarus,BLR,Europe,Eastern Europe,2013,0.796,29,9497294,72.47073171,7978.872615
Belgium,BEL,Europe,Western Europe,2013,0.89,75,11153122,80.58780488,46582.66955
Belize,BLZ,Americas,Latin America and the Caribbean,2013,0.705,NA,344193,69.895,4673.245037
Benin,BEN,Africa,Sub-Saharan Africa,2013,0.475,36,10322232,60.113,915.3281554
Bhutan,BTN,Asia,Southern Asia,2013,0.596,63,754637,69.038,2350.882889
Bosnia and Herzegovina,BIH,Europe,Southern Europe,2013,0.742,42,3823533,76.39,5042.582213
Botswana,BWA,Africa,Sub-Saharan Africa,2013,0.697,64,2176510,63.63,7001.034418
Brazil,BRA,Americas,Latin America and the Caribbean,2013,0.747,42,204259377,74.777,12216.90446
Bulgaria,BGR,Europe,Eastern Europe,2013,0.787,41,7252539,74.86097561,7646.839866
Burkina Faso,BFA,Africa,Sub-Saharan Africa,2013,0.398,38,17084554,58.942,699.781537
Burundi,BDI,Africa,Sub-Saharan Africa,2013,0.404,21,10465959,56.259,255.372691
Cambodia,KHM,Asia,South-eastern Asia,2013,0.553,20,15078564,67.868,1013.665952
Cameroon,CMR,Africa,Sub-Saharan Africa,2013,0.507,25,22211166,56.665,1493.746567
Canada,CAN,Americas,Northern America,2013,0.912,81,35230612,81.77204878,52418.31506
Central African Republic,CAF,Africa,Sub-Saharan Africa,2013,0.345,25,4710678,49.825,337.484979
Chad,TCD,Africa,Sub-Saharan Africa,2013,0.39,19,13145788,51.778,986.0103177
Chile,CHL,Americas,Latin America and the Caribbean,2013,0.841,71,17575833,78.931,15941.39722
China,CHN,Asia,Eastern Asia,2013,0.723,40,1362514260,75.769,7077.770765
Colombia,COL,Americas,Latin America and the Caribbean,2013,0.72,36,47342363,73.847,8065.960376
Comoros,COM,Africa,Sub-Saharan Africa,2013,0.497,28,751697,62.923,1504.931007
Costa Rica,CRI,Americas,Latin America and the Caribbean,2013,0.768,53,4706433,79.254,10569.66631
Croatia,HRV,Europe,Southern Europe,2013,0.82,48,4271497,77.12682927,13663.51913
Cuba,CUB,Americas,Latin America and the Caribbean,2013,0.772,46,11362505,79.282,6760.15344
Cyprus,CYP,Asia,Western Asia,2013,0.85,63,1141652,79.995,27942.31667
Denmark,DNK,Europe,Northern Europe,2013,0.926,91,5624293,80.3,61191.19263
Djibouti,DJI,Africa,Sub-Saharan Africa,2013,0.467,36,864554,61.691,1477.363042
Dominica,DMA,Americas,Latin America and the Caribbean,2013,0.724,58,72005,NA,6933.413648
Dominican Republic,DOM,Americas,Latin America and the Caribbean,2013,0.712,29,10281408,73.292,6094.734904
Ecuador,ECU,Americas,Latin America and the Caribbean,2013,0.737,35,15661312,75.661,6074.090829
El Salvador,SLV,Americas,Latin America and the Caribbean,2013,0.676,38,6089644,72.753,3515.947201
Equatorial Guinea,GNQ,Africa,Sub-Saharan Africa,2013,0.582,19,797082,56.905,20246.99308
Eritrea,ERI,Africa,Sub-Saharan Africa,2013,0.416,20,4998824,63.703,NA
Estonia,EST,Europe,Northern Europe,2013,0.86,68,1320050,77.14146341,19072.23852
